,loss,accuracy,val_loss,val_accuracy
0,0.5391510128974915,0.7049199938774109,0.37499505281448364,0.8351600170135498
1,0.3000350892543793,0.8755199909210205,0.359322726726532,0.8431599736213684
2,0.23932801187038422,0.9058799743652344,0.3776089549064636,0.8409199714660645
3,0.20605242252349854,0.9209200143814087,0.40667954087257385,0.8361200094223022
4,0.17820145189762115,0.9332399964332581,0.4501652419567108,0.8304799795150757
5,0.15517747402191162,0.9446799755096436,0.5007864236831665,0.8259199857711792
6,0.13705791532993317,0.9534000158309937,0.5513618588447571,0.8145599961280823
7,0.12290460616350174,0.9589999914169312,0.5932211875915527,0.8141599893569946
8,0.10437677800655365,0.966480016708374,0.6555188894271851,0.8137999773025513
9,0.08966970443725586,0.9733999967575073,0.7151416540145874,0.8072400093078613
