,loss,accuracy,val_loss,val_accuracy
0,0.645561158657074,0.6244400143623352,0.5294668078422546,0.8139200210571289
1,0.4694061577320099,0.8484399914741516,0.481245219707489,0.8275200128555298
2,0.3815290331840515,0.8911600112915039,0.45959609746932983,0.8391600251197815
3,0.3221682012081146,0.9124799966812134,0.4829084277153015,0.8340399861335754
4,0.27935591340065,0.9279199838638306,0.4910978078842163,0.8245999813079834
5,0.24647097289562225,0.9387999773025513,0.570607602596283,0.8275200128555298
6,0.22011324763298035,0.9461600184440613,0.586113452911377,0.8219199776649475
7,0.20129455626010895,0.949999988079071,0.6062278747558594,0.8240399956703186
8,0.18505603075027466,0.9545599818229675,0.6803683042526245,0.8266400098800659
9,0.17040860652923584,0.9579600095748901,0.6587508320808411,0.8216800093650818
