,loss,accuracy,val_loss,val_accuracy
0,0.46332913637161255,0.7698400020599365,0.3526879549026489,0.842519998550415
1,0.28656503558158875,0.8840000033378601,0.35985925793647766,0.8421199917793274
2,0.21684671938419342,0.9165599942207336,0.4028887450695038,0.8284000158309937
3,0.15112294256687164,0.945360004901886,0.4835892915725708,0.8250799775123596
4,0.09951191395521164,0.9650800228118896,0.556000292301178,0.8056399822235107
5,0.06588324159383774,0.9775999784469604,0.7141175866127014,0.8240799903869629
6,0.04761797934770584,0.9833599925041199,0.7271772623062134,0.8080800175666809
7,0.0355846993625164,0.9882000088691711,0.8624168038368225,0.8042399883270264
8,0.027268854901194572,0.9906799793243408,1.006913423538208,0.8182399868965149
9,0.02467324398458004,0.991159975528717,1.0567928552627563,0.8183599710464478
